sequence_id,scene_family,level,geometry_seed,sensor_seed,process_seed,final_translation_error,final_axis_error,final_cross_error,mean_axis_error,mean_cross_error,axis_drift_rate,trajectory_path,motion_path
ST-L4-G02,ST,L4,202,11,1005,0.07862674871122771,0.07845550200916307,0.005186503387520188,0.0338839514472089,0.001673418014194117,0.002615183400305435,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_011/process_1005.npz
ST-L4-G02,ST,L4,202,22,1001,0.01669361955873677,0.016509423529345923,0.002473028244989916,0.03909963280828119,0.0015298385310885505,0.000550314117644864,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_022/process_1001.npz
ST-L4-G02,ST,L4,202,22,1002,0.016811886449527788,0.016628825444875872,0.0024742049865895933,0.039129151324901676,0.0015298308630439488,0.0005542941814958624,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_022/process_1002.npz
ST-L4-G02,ST,L4,202,22,1003,0.016824957927004395,0.016642072544989617,0.002473990835223704,0.03908799274122951,0.0015296895973195847,0.0005547357514996538,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_022/process_1003.npz
ST-L4-G02,ST,L4,202,22,1004,0.016694998334122864,0.01651090885464157,0.002472419497189698,0.039100611578154934,0.001529701808864857,0.0005503636284880523,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_022/process_1004.npz
ST-L4-G02,ST,L4,202,22,1005,0.016672406537687933,0.016488013821479797,0.00247275958811821,0.03908765931407216,0.0015296483986143648,0.0005496004607159932,results/metric_redesign_stage1/trajectories/ST-L4-G02/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/ST-L4-G02/sensor_022/process_1005.npz
ST-L4-G03,ST,L4,303,11,1001,0.08574308318608345,0.08558610722216287,0.005185996993063949,0.03235437234234952,0.0016753122676493365,0.002852870240738762,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_011/process_1001.npz
ST-L4-G03,ST,L4,303,11,1002,0.08536272020253133,0.08520508468159349,0.005185320123013832,0.03234780897394344,0.0016753009546264877,0.0028401694893864494,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_011/process_1002.npz
ST-L4-G03,ST,L4,303,11,1003,0.08531680045340592,0.08515906686812613,0.005185534664459202,0.0323475743280349,0.0016752664913531035,0.002838635562270871,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_011/process_1003.npz
ST-L4-G03,ST,L4,303,11,1004,0.0857259745501984,0.08556894431549722,0.005186374582750405,0.03236831731400185,0.0016753176830093908,0.002852298143849907,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_011/process_1004.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_011/process_1004.npz
ST-L4-G03,ST,L4,303,11,1005,0.08580911043523548,0.0856522555044954,0.005185996594587811,0.032374074139472186,0.0016752507244421422,0.0028550751834831795,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_011/process_1005.npz
ST-L4-G03,ST,L4,303,22,1001,0.01709437416206087,0.016925343629395684,0.0023979931233031647,0.03749195860417375,0.001521955578155775,0.000564178120979856,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_022/process_1001.npz
ST-L4-G03,ST,L4,303,22,1002,0.01723821542593771,0.017070482069378556,0.002398898286727048,0.03751991229466192,0.0015219548847918269,0.0005690160689792852,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_022/process_1002.npz
ST-L4-G03,ST,L4,303,22,1003,0.01725557739486566,0.017088047636367065,0.002398661961896411,0.03748156466021125,0.0015218273632893484,0.0005696015878789021,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_022/process_1003.npz
ST-L4-G03,ST,L4,303,22,1004,0.01709970932238405,0.016930818283643845,0.002397384232086991,0.03748704249275393,0.0015218429961190647,0.0005643606094547948,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_022/process_1004.npz
ST-L4-G03,ST,L4,303,22,1005,0.017069823141669847,0.0169005781054139,0.002397774341069598,0.037478882787370854,0.0015217999725110627,0.0005633526035137966,results/metric_redesign_stage1/trajectories/ST-L4-G03/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/ST-L4-G03/sensor_022/process_1005.npz
