sequence_id,sensor_seed,window_start,window_end,overlapping,process_trial_count,axis_drift_rate_median,ODI_trans_median,lambda_min_trans_normalized_median
ST-L2-G03,11,0,10,False,5,0.0008897213766161829,0.5515033295118658,2.8556416322823353
ST-L2-G03,11,10,20,False,5,1.1290633334593485e-06,0.48715177069446525,4.342074628382743
ST-L2-G03,11,20,30,False,5,0.0008072716299538519,0.47688785981122916,3.30419796394706
ST-L2-G03,11,30,40,False,5,6.74000266625243e-05,0.5242996386171522,2.871301447274387
ST-L2-G03,11,40,50,False,5,0.0005125506999705748,0.48410969952769056,3.8867875953805737
ST-L2-G03,11,50,59,False,5,0.000934233314904816,0.49336765787309456,1.9956387195546899
ST-L2-G03,22,0,10,False,5,0.0007457216499576733,0.5515016377454978,2.8781307933339146
ST-L2-G03,22,10,20,False,5,0.0018913504135982689,0.49235859752199285,4.186395897200657
ST-L2-G03,22,20,30,False,5,0.0019361056498902118,0.4792569709779948,3.2459433690959876
ST-L2-G03,22,30,40,False,5,0.0028645266998375924,0.5252495642259503,2.932984900424257
ST-L2-G03,22,40,50,False,5,2.8183119998721667e-05,0.4835546272956752,3.818848253551436
ST-L2-G03,22,50,59,False,5,0.0013875189519850658,0.5016947723304523,1.9353231893569
ST-L3-G01,11,0,10,False,5,0.004313963376422201,0.537917529107677,1.6177080021579577
ST-L3-G01,11,10,20,False,5,0.0031549520371084725,0.5155084016398901,1.1577075454724315
ST-L3-G01,11,20,30,False,5,0.0010212180199421583,0.5136232999265993,1.2232793187850068
ST-L3-G01,11,30,40,False,5,0.003057697813159909,0.5182035529672165,1.8763678716644978
ST-L3-G01,11,40,50,False,5,0.0023247355032016627,0.5131577645040661,1.5362232544837477
ST-L3-G01,11,50,59,False,5,0.0024628509854228175,0.5264475306625265,0.9351251155560747
ST-L3-G01,22,0,10,False,5,0.001972840229888217,0.5334635475115586,1.6620684523933291
ST-L3-G01,22,10,20,False,5,0.002608032853698476,0.5187867693257122,1.1487834180439471
ST-L3-G01,22,20,30,False,5,0.0024427874231948018,0.5099030479601289,1.1933367910748445
ST-L3-G01,22,30,40,False,5,0.004113011736433225,0.5151926103861225,1.786612180325149
ST-L3-G01,22,40,50,False,5,0.00038575379997752337,0.5113835875283921,1.5890803265343878
ST-L3-G01,22,50,59,False,5,0.0030409718817749195,0.526876241606534,0.9388317694243902
ST-L3-G02,11,0,10,False,5,0.004868176139724195,0.5465888292486725,0.9662922306706127
