sequence_id,scene_family,trial_id,window_id,axis_drift_rate,weak_drift_alignment,ODI_median,AIS_median,lambda_min_clamped_median,condition_number_median,weak_alignment_median,path_length,risk_ODI,risk_low_AIS,risk_low_lambda,risk_high_condition,risk_weak_alignment,risk_low_motion,joint_risk_equal,joint_risk_spectral,joint_risk_information,joint_risk_odi_information,joint_risk_no_odi,joint_risk_motion_aware,applied_axis_bias,is_unbiased_protocol
RT-L4-S01-M1,RT,7,26,-0.00217658770511,0.990819140535,0.730050266474,7.00358769335,0,2895259.99665,1,10.270270271,0.994329747019,0.971067170689,0.662838034312,0.991421924978,0.5,0.0347484733934,0.90491421925,0.882863235437,0.875109043327,0.87607831734,0.665018900843,0.730881070079,0,true
RT-L4-S01-M1,RT,7,27,-0.00268273650797,0.999478204056,0.730050266474,7.00144497219,0,2895276.84708,1,10.27027027,0.994329747019,0.985606280896,0.662838034312,0.997237569061,0.5,0.177231753417,0.910002907822,0.884801783464,0.881893961423,0.880924687409,0.705728409421,0.763448676941,0,true
RT-L4-S01-M1,RT,7,28,-0.00160708068689,0.952980014813,0.729788665214,7.00358769335,0,2894118.38001,1,10.27027027,0.979790636813,0.971067170689,0.662838034312,0.979790636813,0.5,0.177231753417,0.898371619657,0.874139769313,0.871231947271,0.871231947271,0.697731898808,0.754143646409,0,true
RT-L4-S01-M1,RT,7,29,-0.00295453597611,0.999662251728,0.729617367295,7.00207449456,0,2893821.37941,1,10.270270271,0.962343704565,0.979790636813,0.662838034312,0.944896772318,0.5,0.0347484733934,0.887467287002,0.856692837065,0.862508481148,0.86832412523,0.655568479209,0.71692352428,0,true
RT-L4-S01-M1,RT,7,30,-0.00321290298429,0.997895319908,0.728670221099,7.01052363012,0,2892051.8467,1,10.27027027,0.59014248328,0.758796161675,0.662838034312,0.462198313463,0.5,0.177231753417,0.618493748183,0.571726277019,0.627944169817,0.670592226422,0.515266065717,0.530241349229,0,true
RT-L4-S01-M1,RT,7,31,-0.00268544490796,0.988077446983,0.728582082202,7.01052363012,0,2892051.8467,1,10.27027027,0.520354754289,0.758796161675,0.662838034312,0.462198313463,0.5,0.177231753417,0.601046815935,0.548463700688,0.627944169817,0.647329650092,0.515266065717,0.516283803431,0,true
RT-L4-S01-M1,RT,7,32,-0.00374651445237,0.998638916304,0.728524696063,7.01052363012,0,2892051.8467,1,10.270270271,0.485460889794,0.758796161675,0.662838034312,0.462198313463,0.5,0.0347484733934,0.592323349811,0.536832412523,0.627944169817,0.635698361927,0.479645245711,0.480808374527,0,true
RT-L4-S01-M1,RT,7,33,-0.00193523514742,0.968008414217,0.728268375032,7.01278129122,0,2891226.99251,1,10.27027027,0.374963652224,0.718086653097,0.662838034312,0.270282058738,0.5,0.177231753417,0.506542599593,0.436027915092,0.550402248716,0.585296113211,0.457109624891,0.440680430358,0,true
RT-L4-S01-M1,RT,7,34,-0.00203663325795,0.983444683811,0.728607601732,7.00593387342,0,2892046.60816,1,10.27027027,0.555248618785,0.898371619657,0.662838034312,0.444751381215,0.5,0.177231753417,0.640302413492,0.554279344771,0.668653678395,0.705486090918,0.54579819715,0.547688281477,0,true
RT-L4-S01-M1,RT,7,35,-0.000949941894763,0.988009595808,0.728643459077,7.00442945081,0,2892177.50408,1,10.27027027,0.578511195115,0.939081128235,0.662838034312,0.502907822041,0.5,0.177231753417,0.670834544926,0.581419017156,0.701608994863,0.726810119221,0.570514684501,0.572113986624,0,true
RT-L4-S01-M1,RT,7,36,-0.00160219766041,0.997514622807,0.728983869681,7.00420852325,0,2892719.51223,1,10.270270271,0.77042744984,0.953620238441,0.662838034312,0.636667635941,0.5,0.0347484733934,0.755888339634,0.689977706698,0.751041969565,0.795628574198,0.571968595522,0.611660366386,0,true
RT-L4-S01-M1,RT,7,37,-0.00104786405003,0.986836566913,0.729278563016,7.00571294586,0,2893435.4207,1,10.27027027,0.886740331492,0.904187263739,0.662838034312,0.880924687409,0.5,0.177231753417,0.833672579238,0.810167684404,0.815983328487,0.817921876514,0.656295434719,0.702384414074,0,true
RT-L4-S01-M1,RT,7,38,-0.000346425255273,0.880117459769,0.729376336486,7.00420852325,0,2893947.83142,1,10.27027027,0.92744984007,0.953620238441,0.662838034312,0.962343704565,0.5,0.177231753417,0.876562954347,0.850877192982,0.859600659106,0.847969370941,0.689008432684,0.736696714161,0,true
RT-L4-S01-M1,RT,7,39,0.00085279264994,0.931000452059,0.729907101889,6.998885528,0,2894648.57527,1,10.270270271,0.985606280896,0.997237569061,0.662838034312,0.985606280896,0.5,0.0347484733934,0.907822041291,0.878016865368,0.881893961423,0.881893961423,0.670107589416,0.733207327712,0,true
RT-L4-S01-M1,RT,7,40,0.00231565717111,0.98266064499,0.729392373303,7.00079572554,0,2894086.48547,1,10.27027027,0.933265484152,0.991421924978,0.662838034312,0.97397499273,0.5,0.177231753417,0.890375109043,0.856692837065,0.87607831734,0.862508481148,0.701366676359,0.747746437918,0,true
RT-L4-S01-M1,RT,7,41,0.00202293683163,0.972854883095,0.72915137564,7.00381123713,0,2893435.5123,1,10.27027027,0.825676068625,0.962343704565,0.662838034312,0.886740331492,0.5,0.177231753417,0.834399534748,0.791751478143,0.83730735679,0.816952602501,0.672288455946,0.702965978482,0,true
RT-L4-S01-M1,RT,7,42,0.00115540435529,0.97992241675,0.729201555135,7.00545416532,0,2893539.80605,1,10.27027027,0.851846466996,0.910002907822,0.662838034312,0.892555975574,0.5,0.177231753417,0.829310846176,0.802413492294,0.82179897257,0.808229136377,0.660657167781,0.698895027624,0,true
RT-L4-S01-M1,RT,7,43,-0.00080046121318,0.948501959877,0.72915137564,7.00870068636,0,2893244.29545,1,10.27027027,0.825676068625,0.808229136377,0.662838034312,0.840215178831,0.5,0.177231753417,0.784239604536,0.776243093923,0.77042744984,0.765581079771,0.622128525734,0.662838034312,0,true
RT-L4-S01-M1,RT,7,44,0.000167239415791,0.761851454517,0.729057137261,7.00870068636,0,2893243.0615,1,10.27027027,0.811136958418,0.808229136377,0.662838034312,0.834399534748,0.5,0.177231753417,0.779150915964,0.769458175826,0.768488901813,0.760734709702,0.620674614714,0.658767083454,0,true
RT-L4-S01-M1,RT,7,45,-0.00142419991057,0.970775360518,0.729211304077,7.00874520129,0,2893229.66815,1,10.27027027,0.863477755161,0.799505670253,0.662838034312,0.828583890666,0.5,0.177231753417,0.788601337598,0.784966560047,0.763642531744,0.775273819909,0.617039837162,0.666327420762,0,true
RT-L4-S01-M1,RT,7,46,-0.00172797760251,0.961627631419,0.729030916855,7.00896871242,0,2893030.15954,1,10.270270271,0.79369002617,0.790782204129,0.662838034312,0.741349229427,0.5,0.0347484733934,0.74716487351,0.732625763303,0.73165648929,0.749103421537,0.557429485315,0.604681593486,0,true
RT-L4-S01-M1,RT,7,47,-0.00085376779476,0.957140325995,0.728794865644,7.00896871242,0,2892600.37705,1,10.27027027,0.689008432684,0.790782204129,0.662838034312,0.584326839197,0.5,0.177231753417,0.681738877581,0.645391102065,0.679315692546,0.714209557042,0.553794707764,0.580837452748,0,true
RT-L4-S01-M1,RT,7,48,-0.000715156642126,0.983961233966,0.728268036106,7.00911521931,0,2891326.42218,1,10.27027027,0.369148008142,0.782058738005,0.662838034312,0.281913346903,0.5,0.177231753417,0.523989531841,0.437966463119,0.575603373074,0.604681593486,0.476010468159,0.454637976156,0,true
RT-L4-S01-M1,RT,8,0,0.000362725507904,0.887959073729,0.728763894269,7.00735040963,0,2892213.84701,1,10.27027027,0.668653678395,0.846030822914,0.662838034312,0.520354754289,0.5,0.177231753417,0.674469322477,0.617282155665,0.676407870505,0.725840845207,0.551613841233,0.575021808665,0,true
RT-L4-S01-M1,RT,8,1,0.000704223336861,0.985678967419,0.728763894269,7.00527069168,0,2892437.90305,1,10.27027027,0.668653678395,0.921634195987,0.662838034312,0.555248618785,0.5,0.177231753417,0.70209363187,0.628913443831,0.713240283028,0.751041969565,0.579238150625,0.597121256179,0,true
RT-L4-S01-M1,RT,8,2,-0.00129532004991,0.998387145902,0.728032381342,7.01211261493,0,2890547.36871,1,10.270270271,0.351701075894,0.741349229427,0.662838034312,0.247019482408,0.5,0.0347484733934,0.50072695551,0.420519530871,0.550402248716,0.585296113211,0.421488804885,0.407531259087,0,true
RT-L4-S01-M1,RT,8,3,1.92147815794e-05,0.0688416364536,0.728300101261,7.00518072382,0,2891632.76198,1,10.27027027,0.392410584472,0.92744984007,0.662838034312,0.392410584472,0.5,0.177231753417,0.593777260832,0.482553067752,0.660899486285,0.660899486285,0.539982553068,0.510468159349,0,true
RT-L4-S01-M1,RT,8,4,0.0026900772106,0.99445115999,0.72813515264,7.01249568789,0,2890939.86576,1,10.27027027,0.363332364059,0.735533585345,0.662838034312,0.264466414655,0.5,0.177231753417,0.506542599593,0.430212271009,0.554279344771,0.587234661239,0.460017446932,0.440680430358,0,true
RT-L4-S01-M1,RT,8,5,0.0039078493501,0.999232989198,0.727874651458,7.00860271189,0,2890336.12677,1,10.27027027,0.328438499564,0.816952602501,0.662838034312,0.241203838325,0.5,0.177231753417,0.512358243675,0.410826790734,0.573664825046,0.602743045459,0.474556557139,0.445332945624,0,true
