scene_variant,geometry_seed,noise_condition,registration_backend,trial_count,mean_translation_x_m,mean_translation_y_m,mean_translation_z_m,systematic_translation_offset_m,mean_rotation_x_rad,mean_rotation_y_rad,mean_rotation_z_rad,systematic_rotation_offset_rad,systematic_fraction_translation
GEOMETRY_RICH_ROOM,1850310744,FULL_NOISE,open3d_full,1,-0.0007845217050135,-0.0002758765470428,-0.0002725876845968,0.0008751492562068438,4.188407811861196e-06,0.0002407009228087,-3.048016218563394e-05,0.00024265926169800476,1.0
GEOMETRY_RICH_ROOM,1850310744,IDEAL_MATCHED,native_frozen,1,-0.0002611164196316,-0.0002806531085808,-0.0001393748578684,0.00040788883652672926,1.4338122851882032e-05,-1.773536748836895e-05,1.4290606322730164e-05,2.6913685290840633e-05,1.0
GEOMETRY_RICH_ROOM,1850310744,IDEAL_MATCHED,native_full,1,-0.0002523866323328,-0.0003429981254852,-0.0001146625225896,0.00044101498880793553,2.617703825907008e-05,-3.215126634638277e-05,6.197354378052884e-06,4.192074022461955e-05,1.0
GEOMETRY_RICH_ROOM,1850310744,IDEAL_MATCHED,open3d_full,1,3.2023053176609593e-19,9.524789309306796e-20,0.0,3.340954274064e-19,-6.286387743882803e-20,3.1331411858156e-20,-2.4558512801779566e-20,7.440863529661434e-20,
GEOMETRY_RICH_ROOM,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,-0.0007019892939174,-0.0003667072225496,-0.0002876249882746,0.0008426098087042754,3.1161205731870256e-05,-2.0658644006554865e-05,-1.5012771228725186e-05,4.02887529568681e-05,1.0
GEOMETRY_RICH_ROOM,1850310744,INDEPENDENT_NOISE_FREE,native_full,1,-0.0007028207836621,-0.0003644695384487,-0.0002842925377908,0.0008411999437993028,2.930205071145573e-05,-2.0774363305106564e-05,-1.5461670834197805e-05,3.9105595656048566e-05,0.9999999999999999
GEOMETRY_RICH_ROOM,1850310744,INDEPENDENT_NOISE_FREE,open3d_full,1,-0.0008755431605713,-0.0002465815409502,-0.0002947577233729,0.0009561696490939938,4.295242059001396e-06,0.0002367376536887,-3.237342506270032e-05,0.00023897950629429826,1.0
GEOMETRY_RICH_ROOM,1850310744,MAP_NOISE_ONLY,native_frozen,1,-0.0006787329592339,-0.0003506790896812,-0.0002758764380645,0.0008122573871435076,3.239375462307377e-05,-2.139145725167736e-05,-1.3641880641209582e-05,4.114669718652108e-05,1.0
GEOMETRY_RICH_ROOM,1850310744,MAP_NOISE_ONLY,native_full,1,-0.0006673128403624,-0.0003464572038208,-0.00027584999011,0.0008008946485247285,3.279417909418416e-05,-2.0256328789615675e-05,-9.979514108394e-06,3.9816676661093564e-05,1.0
GEOMETRY_RICH_ROOM,1850310744,MAP_NOISE_ONLY,open3d_full,1,-0.0008050767200055,-0.0002337118751974,-0.0002836251313929,0.0008849932094997901,7.538254186895296e-06,0.0002386463360949,-3.3037110011038753e-05,0.00024104014114994973,1.0
GEOMETRY_RICH_ROOM,1850310744,SCAN_NOISE_ONLY,native_frozen,1,-0.0007504962432792,-0.0003912738192195,-0.0002617987822259,0.0008859336403804577,3.370059831410238e-05,-1.6841326060523213e-05,-1.0207825070177926e-06,3.768822876087402e-05,1.0
GEOMETRY_RICH_ROOM,1850310744,SCAN_NOISE_ONLY,native_full,1,-0.0007478611413357,-0.0003900852326668,-0.0002552032641063,0.0008812442802510308,3.183888273638043e-05,-1.7928322059624407e-05,1.102569423981992e-06,3.655618750785287e-05,1.0
GEOMETRY_RICH_ROOM,1850310744,SCAN_NOISE_ONLY,open3d_full,1,-0.0009112551726933,-0.000245979194906,-0.0002463214436971,0.0009754824486949643,5.781311176965901e-07,0.0002292476799843,-2.837841256000219e-05,0.00023099819764058543,1.0
LONG_CORRIDOR,1850310744,DROPOUT_ONLY,native_frozen,1,0.0317535213879043,3.770990082774428e-05,0.0004370411916163,0.031756551254377194,-9.990060175092802e-05,1.800437167265527e-06,1.3773412712766785e-06,9.992631722008149e-05,1.0
LONG_CORRIDOR,1850310744,DROPOUT_ONLY,native_full,1,-0.1467070041361453,0.0001847381817573,0.0001393925044907,0.14670718667150925,-0.000302436126045,-2.9426304353319704e-06,-1.5629065441936958e-06,0.0003024544793648326,1.0
