scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,full_anchor_pose,frozen_zero_pose,translation_distance_m,rotation_distance_rad,distance_eligible,full_zero_anchor_globally_valid,eligible_for_subsequent_comparison
END_FACE_TRANSITION_ABSENT,1103,2101,0,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101::r00,"[0.0,0.08319641837065042,-0.0004787397103065231,1.4993671178443477,6.985448232190477e-05,-1.764230195219799e-06,1.3889455400042288e-08,0.9999999975586193]","[0.0,-0.03901168798526159,-0.0009338609516100993,1.4994640376779258,2.2943556150091763e-05,-1.47125186536263e-06,-8.129582939830159e-07,0.9999999997353839]",0.12220899225464682,9.383825473530226e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2101,1,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101::r01,"[0.0,0.07024090095323476,-0.00040194360636191737,1.4992979821390184,-5.4813789397470295e-05,-2.051135682332921e-06,1.5738343779350754e-06,0.9999999984943821]","[0.0,-0.03771556464817154,-0.0009272569116294471,1.4994518991279682,4.224301307764336e-05,-8.271251615417003e-07,3.728139657374981e-07,0.9999999991073525]",0.10795785339499762,0.00019414390092149523,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2101,2,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101::r02,"[0.0,0.10040701230642672,-0.00042900048938110353,1.4991262143632849,-4.777974131977621e-05,-1.50246255398375e-06,7.69261197179962e-07,0.9999999988571235]","[0.0,-0.03976753495158398,-0.0009838034859471507,1.499476738763863,4.3728684746311694e-05,-6.057046414247679e-07,-1.136800770662541e-07,0.9999999990437112]",0.14017608345473445,0.00018303415863734918,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2101,3,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101::r03,"[0.0,0.029996363285073727,-0.0006664960548448254,1.4993801706361347,0.00010259699199471529,1.1011908095037705e-06,1.0648744296368623e-06,0.9999999947357554]","[0.0,-0.03802371938546285,-0.000960332322133662,1.49949137577454,6.124024707914995e-05,1.6700112304185651e-06,2.6583368255437677e-07,0.9999999981233862]",0.06802080823425588,8.273674841370037e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2101,4,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101::r04,"[0.0,0.05824967186986008,-0.0010002793257645577,1.4994483451227334,3.481899832435777e-05,8.229651502613713e-07,-4.679280977450657e-07,0.9999999993933706]","[0.0,-0.039048789969861455,-0.0009747825881734266,1.4994502747319698,3.992953709413414e-05,7.663245566388895e-07,-4.740005410976006e-07,0.99999999920241]",0.0972984651995229,1.022171249553114e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2111,0,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111::r00,"[0.0,0.07676694282419508,-0.0005461236002895497,1.4993953702285834,5.401666094675687e-05,-1.1437991334754994e-06,-1.4508441120309572e-07,0.9999999985404356]","[0.0,-0.03957435806584843,-0.0009411330380351018,1.4994701531844088,4.441036496244005e-05,-6.345923385343554e-07,-9.353863346025531e-07,0.999999999013221]",0.11634199550348974,1.9304382036490466e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2111,1,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111::r01,"[0.0,0.10110456807356397,-0.0010919933454670184,1.499555398505736,5.7307487295199186e-05,7.059684553650988e-07,-3.194630787064564e-07,0.9999999983576259]","[0.0,-0.03932276419872198,-0.000985586477564721,1.4995172047640963,3.760438212027271e-05,1.2177702673594593e-07,-2.3400855246179048e-07,0.9999999992929205]",0.1404273777804543,3.942389815951292e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2111,2,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111::r02,"[0.0,0.15561379891802707,-0.0003782329562763349,1.4990313881845938,1.842624811668244e-05,-2.488185119743561e-08,-1.071889968176859e-06,0.9999999998296619]","[0.0,-0.039816402259562365,-0.0009697230918349941,1.4994564485748982,5.4924488849457636e-05,-1.4750830784404975e-07,-1.1007649302489758e-06,0.9999999984910336]",0.19543155852939656,7.299691636058946e-05,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2111,3,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111::r03,"[0.0,0.055642181107953194,-0.0009566677494924238,1.4995042552801716,4.7805470138198636e-05,-9.200600130124707e-07,-1.8800306535098726e-07,0.9999999988568775]","[0.0,-0.03825043340506256,-0.0009459095978910373,1.4995131601597762,4.5546026557488136e-05,-6.20765183779124e-07,-2.979215638760965e-07,0.9999999989625428]",0.09389261555162091,4.5636585221530895e-06,false,false,false
END_FACE_TRANSITION_ABSENT,1103,2111,4,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111::r04,"[0.0,0.10682982760970039,-0.00046826107931436224,1.499396920308093,4.356029389739847e-05,3.654686666618268e-08,-3.961478611001937e-07,0.9999999990511713]","[0.0,-0.03746302664865822,-0.0009403178788788231,1.4994641265439472,3.8434016150521274e-05,1.13919207498329e-06,-6.07030150962075e-07,0.9999999992605801]",0.14429364207865875,1.049552692867694e-05,false,false,false
